epoch,experiment,total_epochs,neurons,batch_size,lag,direct_features,nearby_counties,nearby_features,run,train_rmse,test_rmse
73,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.76855667,26.01194025
74,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.48114569,25.39405607
75,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,16.00284858,25.36011024
76,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.50939971,24.09069691
77,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.69018556,24.64020491
78,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.53260953,25.57975052
79,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.46448139,29.35352768
80,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.82401522,29.80584498
81,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.303931500000001,28.32549107
82,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.11261441,27.02260105
83,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.34031851,27.65069942
84,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.17406899,26.12731873
85,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.171390099999998,25.59970229
86,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.02507407,26.49907981
87,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.10428155,24.94969809
88,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.25863812,26.73162891
89,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.27016583,27.59214051
90,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.13695118,25.26124565
91,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.02616525,25.85917072
92,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.52822851,25.63574556
93,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.03123122,26.75269121
94,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,14.86802585,24.94053282
95,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,14.89643213,26.53204285
96,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.53695251,25.48271787
97,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.2154187,30.76165929
98,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.01995875,30.44393305
99,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,15.30359685,28.45943736
100,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,14.97068861,24.58745297
